game_id,year_id,date_game,seasongame,is_playoffs,team_id,fran_id,opp_id,opp_fran,elo_i,opp_elo_i,game_result
199911240CHH,2000,11/24/1999,12,0,CHH,Pelicans,VAN,Grizzlies,1555.9658,1285.7487,W
199911240DEN,2000,11/24/1999,10,0,DEN,Nuggets,TOR,Raptors,1359.9023,1510.1974,W
199911240GSW,2000,11/24/1999,10,0,GSW,Warriors,NJN,Nets,1392.5956,1396.847,L
199911240LAL,2000,11/24/1999,13,0,LAL,Lakers,UTA,Jazz,1548.1646,1606.6686,W
199911240MIA,2000,11/24/1999,12,0,MIA,Heat,ATL,Hawks,1599.8127,1508.2406,W
199911240MIL,2000,11/24/1999,12,0,MIL,Bucks,CHI,Bulls,1527.4541,1336.1733,W
199911240MIN,2000,11/24/1999,9,0,MIN,Timberwolves,POR,Trailblazers,1496.6897,1628.1809,L
199911240ORL,2000,11/24/1999,12,0,ORL,Magic,DAL,Mavericks,1519.3906,1435.1947,W
199911240PHI,2000,11/24/1999,13,0,PHI,Sixers,WAS,Wizards,1534.2177,1382.9183,L
199911250IND,2000,11/25/1999,12,0,IND,Pacers,DET,Pistons,1606.9608,1548.5858,L
199911260BOS,2000,11/26/1999,13,0,BOS,Celtics,MIL,Bucks,1484.8763,1529.6036,L
199911260CHH,2000,11/26/1999,13,0,CHH,Pelicans,WAS,Wizards,1558.2676,1401.3159,W
199911260DEN,2000,11/26/1999,11,0,DEN,Nuggets,MIN,Timberwolves,1382.7496,1489.2255,W
199911260DET,2000,11/26/1999,13,0,DET,Pistons,ATL,Hawks,1563.4185,1506.1522,W
199911260IND,2000,11/26/1999,13,0,IND,Pacers,VAN,Grizzlies,1592.1282,1283.4469,W
199911260LAL,2000,11/26/1999,14,0,LAL,Lakers,NJN,Nets,1555.9076,1409.3226,W
199911260PHI,2000,11/26/1999,14,0,PHI,Sixers,CLE,Cavaliers,1515.8201,1473.879,W
199911260POR,2000,11/26/1999,14,0,POR,Trailblazers,HOU,Rockets,1635.6451,1469.2847,W
199911260SAC,2000,11/26/1999,10,0,SAC,Kings,GSW,Warriors,1538.7574,1380.12,W
199911260SAS,2000,11/26/1999,14,0,SAS,Spurs,CHI,Bulls,1713.2555,1334.0238,W
199911260SEA,2000,11/26/1999,13,0,SEA,Thunder,LAC,Clippers,1524.5867,1360.9327,W
199911260UTA,2000,11/26/1999,13,0,UTA,Jazz,TOR,Raptors,1598.9255,1487.3501,L
199911270ATL,2000,11/27/1999,14,0,ATL,Hawks,BOS,Celtics,1503.6804,1479.0234,W
199911270CLE,2000,11/27/1999,12,0,CLE,Cavaliers,CHH,Pelicans,1463.9364,1565.4836,W
199911270DAL,2000,11/27/1999,14,0,DAL,Mavericks,CHI,Bulls,1429.9768,1332.467,W
199911270GSW,2000,11/27/1999,12,0,GSW,Warriors,TOR,Raptors,1373.6118,1510.114,L
199911270LAC,2000,11/27/1999,13,0,LAC,Clippers,POR,Trailblazers,1358.8429,1637.2813,L
199911270MIA,2000,11/27/1999,13,0,MIA,Heat,WAS,Wizards,1601.9011,1394.0999,W
199911270MIL,2000,11/27/1999,14,0,MIL,Bucks,PHI,Sixers,1535.4565,1525.7627,L
199911270MIN,2000,11/27/1999,11,0,MIN,Timberwolves,VAN,Grizzlies,1479.2585,1281.3773,W
199911270NYK,2000,11/27/1999,14,0,NYK,Knicks,ORL,Magic,1567.7697,1524.6085,W
199911270PHO,2000,11/27/1999,13,0,PHO,Suns,NJN,Nets,1560.6769,1403.4447,W
199911270SAS,2000,11/27/1999,15,0,SAS,Spurs,DEN,Nuggets,1714.8123,1392.7166,W
199911280DET,2000,11/28/1999,14,0,DET,Pistons,ORL,Magic,1565.8903,1521.5498,L
199911280SEA,2000,11/28/1999,14,0,SEA,Thunder,IND,Pacers,1526.6765,1594.1978,W
